S.No.,Date,Day,Symbol,Time_Frame,Time_of_BC_candle,Distribution_0_yes_1_no,India_Vix,Trend_Day_Chart_1_Bullish_0_Bearish,Trend_1hr_Chart_1_Bullish_0_Bearish,Gap_up_0_down_1,Twice_high_volume_0_Yes_1_No,Result_0_Profit_1_Loss,RR
1,16,Thur,BN,10,0.39,1,20,0,0,0,0,0,8
2,17,Fri,N,5,0.56,0,19.6,0.5,1,0.5,0,0,4
3,21,Tue,N,5,0.54,1,21.7,0.5,1,1,1,0,4
4,22,Wed,N,5,0.45,1,21.7,0.5,1,0,0,1,-1
5,22,Wed,N,5,0.51,1,21.7,0.5,1,0,0,1,-2
6,22,Wed,N,5,0.58,0,21.7,0.5,1,0,0,1,-1
7,27,Mon,N,3,0.56,1,23,1,1,0,0,0,8
8,28,Tue,BN,10,0.39,1,23.3,1,1,0,1,0,8
9,29,Wed,N,10,0.53,1,24.3,1,1,1,0,0,4
10,29,Wed,N,3,0.53,1,24.3,1,1,1,0,0,4
11,29,Wed,BN,5,0.56,0,24.3,1,1,1,1,0,4
12,30,Thur,BN,15,0.57,1,23.9,1,1,1,0,0,4
13,30,Thur,BN,10,0.57,1,23.9,1,1,1,0,0,4
14,31,Fri,BN,10,0.39,1,22.8,1,1,0,1,0,4
15,3,Mon,BN,10,0.43,1,19.9,1,1,0,1,1,-2
16,4,Tue,BN,3,0.41,1,23.6,1,1,1,1,0,4
17,4,Tue,N,3,0.41,1,23.6,1,1,1,1,0,4
18,4,Tue,BN,3,0.56,1,26.5,1,0,1,1,1,-2
19,4,Tue,BN,5,0.56,1,26.5,1,0,1,1,1,-2
20,4,Tue,BN,5,0.58,1,26.5,1,0,1,1,0,4
21,4,Tue,N,5,0.56,1,26.5,1,0,1,1,1,-2
22,4,Tue,N,10,0.57,1,26.5,1,0,1,1,0,4
23,4,Tue,BN,10,0.57,1,26.5,1,0,1,1,0,4
24,4,Tue,BN,15,0.57,1,26.5,1,0,1,1,0,4
25,5,Wed,N,10,0.42,1,23.5,0.5,1,0,1,1,-2
26,5,Wed,N,10,0.48,1,19.3,0.5,1,0,0,1,-2
27,5,Wed,BN,3,0.40,1,21.8,0.5,1,0,1,0,-2
28,10,Mon,N,10,0.39,1,16.8,1,1,0.5,0,1,-2
29,10,Mon,N,3,0.59,1,16.2,1,1,0.5,0,0,4
30,10,Mon,BN,5,0.57,1,16.3,1,1,0.5,1,0,4
31,12,Wed,BN,3,0.60,1,14.3,1,1,0,0,1,-2
32,12,Wed,N,3,0.61,1,14.3,1,1,0,0,0,4
33,13,Thur,BN,15,0.49,1,13.7,1,1,0,0,0,4
34,13,Thur,BN,5,0.49,1,13.7,1,1,0,0,0,4
35,13,Thur,N,5,0.49,1,13.7,1,1,0,0,0,4
36,13,Thur,N,3,0.55,0,13.7,1,1,0,0,0,4
37,14,Fri,N,5,0.63,1,12.8,1,1,0,0,0,4
38,14,Fri,N,10,0.62,0,12.8,1,1,0,1,0,4
39,14,Fri,BN,5,0.63,1,12.8,1,1,0,1,0,4
